Date,Open,High,Low,Close,Adj Close,Volume
16/09/15,147,152.080002,147,151.690002,137.406433,27152445
18/09/15,154.600006,155.800003,152.720001,154.330002,139.797852,26829095
21/09/15,151.929993,154.559998,151.179993,153.440002,138.991638,16264740
22/09/15,154.399994,154.759995,144.600006,146.649994,132.841003,19125910
23/09/15,144.600006,148.779999,142.850006,147.649994,133.746841,28532335
24/09/15,147.539993,148.699997,143.720001,144.179993,130.603592,18338545
28/09/15,144,148.300003,144,145.979996,132.2341,17370665
29/09/15,144.020004,149.800003,140.550003,147.720001,133.810257,38504095
30/09/15,148.860001,150.869995,144.660004,145.940002,132.197876,21025405
01/10/15,147.800003,147.880005,143,145.720001,131.998596,18723595
05/10/15,146.550003,150.600006,146.550003,150.050003,135.920853,16198610
06/10/15,150.479996,151.320007,147.380005,148.619995,134.625519,13222105
07/10/15,148.619995,149.130005,146.720001,147.149994,133.293945,12428940
08/10/15,146.600006,147.100006,144.089996,145.470001,131.772141,13806750
09/10/15,146.660004,148.380005,144.020004,145.130005,131.464142,13380905
12/10/15,145.860001,147.300003,144.119995,144.75,131.119919,11647585
13/10/15,145.179993,147.220001,144.800003,146.759995,132.940643,15112280
14/10/15,146.600006,148.520004,146,147.740005,133.828369,9671405
15/10/15,148.399994,152.220001,148.399994,151.830002,137.533249,19755775
16/10/15,152,154.940002,150.449997,154.710007,140.142075,16218250
19/10/15,154.570007,155.190002,153.220001,154.089996,139.580444,9387355
20/10/15,154.179993,155.740005,152.270004,154.020004,139.517044,13621220
21/10/15,154,155.080002,151.399994,153.059998,138.647415,9432540
23/10/15,154.520004,156,152.800003,154.229996,139.70726,12371450
26/10/15,154.800003,155.199997,148.720001,149.240005,135.187134,11315700
27/10/15,149.199997,151.259995,148.399994,150.259995,136.111069,13654945
28/10/15,148.199997,149.690002,143.360001,145.529999,131.826477,20105845
29/10/15,145.979996,149.520004,141.550003,148.720001,134.716095,59974035
30/10/15,149.979996,153.130005,148.800003,151.729996,137.442657,20048755
02/11/15,151.039993,154.699997,150.479996,154.399994,139.861252,13308240
03/11/15,155.080002,156.300003,153.300003,155.860001,141.183762,15156160
04/11/15,156.800003,158,156.039993,156.75,141.989975,12395670
05/11/15,156,156.100006,151.820007,152.399994,138.049576,12105005
06/11/15,152.440002,154.740005,150,151.690002,137.406433,12841760
